12.4.0-2.a.1.1|12|[[3, 2, 2, 11], [5, 1, 5, 0]]
20.4.0-2.a.1.1|20|[[4, 1, 1, 1], [13, 6, 4, 15]]
12.12.0-2.a.1.1|12|[[3, 10, 4, 1], [5, 4, 4, 7], [7, 6, 6, 11], [9, 10, 2, 3]]
12.12.0-2.a.1.2|12|[[1, 10, 0, 5], [3, 4, 10, 9], [9, 2, 10, 9], [9, 10, 10, 11]]
20.12.0-2.a.1.1|20|[[1, 12, 4, 15], [1, 18, 0, 17], [15, 6, 12, 9], [19, 12, 18, 13]]
20.12.0-2.a.1.2|20|[[3, 4, 6, 11], [9, 8, 10, 3], [11, 6, 10, 17], [15, 8, 18, 5]]
12.8.0-3.a.1.1|12|[[4, 7, 9, 11], [8, 5, 9, 10], [11, 2, 0, 5]]
12.8.0-3.a.1.2|12|[[1, 8, 9, 1], [2, 7, 3, 2], [11, 4, 3, 7]]
12.8.0-3.a.1.3|12|[[2, 1, 3, 4], [4, 1, 9, 2], [11, 1, 3, 10]]
12.8.0-3.a.1.4|12|[[5, 8, 0, 11], [11, 1, 0, 1], [11, 7, 9, 4]]
15.8.0-3.a.1.1|15|[[0, 7, 4, 12], [2, 6, 4, 4]]
15.8.0-3.a.1.2|15|[[3, 14, 7, 10], [4, 9, 5, 14]]
12.24.0-3.a.1.1|12|[[2, 9, 9, 1], [5, 9, 6, 7], [10, 3, 9, 11]]
12.24.0-3.a.1.2|12|[[5, 0, 0, 1], [7, 3, 3, 8], [8, 9, 3, 2]]
15.24.0-3.a.1.1|15|[[2, 2, 9, 1], [13, 10, 12, 14]]
12.4.0-4.a.1.1|12|[[3, 2, 7, 7], [8, 5, 1, 8]]
20.4.0-4.a.1.1|20|[[3, 13, 2, 11], [9, 1, 7, 16]]
12.12.0-4.a.1.1|12|[[1, 11, 8, 3], [3, 7, 10, 11], [7, 8, 0, 11]]
12.12.0-4.a.1.2|12|[[1, 6, 2, 1], [7, 5, 6, 7], [7, 11, 6, 11]]
20.12.0-4.a.1.1|20|[[3, 10, 19, 19], [9, 16, 7, 15], [17, 0, 5, 7]]
20.12.0-4.a.1.2|20|[[3, 8, 12, 3], [13, 2, 8, 1], [19, 6, 15, 7]]
12.12.0-4.c.1.1|12|[[1, 8, 0, 11], [5, 5, 8, 9], [11, 7, 0, 11]]
12.12.0-4.c.1.2|12|[[1, 1, 4, 5], [5, 7, 8, 3], [7, 9, 8, 5]]
20.12.0-4.c.1.1|20|[[3, 0, 11, 9], [5, 4, 6, 7], [13, 0, 15, 17]]
20.12.0-4.c.1.2|20|[[5, 4, 3, 1], [13, 16, 2, 3], [19, 4, 8, 11]]
12.16.0-4.a.1.1|12|[[5, 1, 9, 8], [7, 5, 1, 10]]
20.16.0-4.a.1.1|20|[[3, 0, 12, 19], [8, 11, 19, 5]]
12.16.0-4.b.1.1|12|[[1, 3, 4, 7], [6, 11, 11, 2]]
20.16.0-4.b.1.1|20|[[10, 7, 19, 19], [14, 13, 5, 2]]
12.24.0-4.a.1.1|12|[[3, 8, 8, 11], [9, 8, 2, 3], [9, 10, 8, 5]]
12.24.0-4.a.1.2|12|[[5, 6, 0, 1], [7, 4, 2, 1], [7, 10, 0, 7]]
20.24.0-4.a.1.1|20|[[17, 6, 4, 15], [17, 18, 2, 15], [19, 0, 12, 3]]
20.24.0-4.a.1.2|20|[[9, 6, 2, 7], [11, 0, 0, 3], [17, 14, 8, 15]]
12.24.0-4.b.1.1|12|[[7, 2, 4, 7], [7, 2, 8, 5], [9, 10, 4, 11]]
12.24.0-4.b.1.2|12|[[3, 4, 4, 9], [7, 2, 0, 7], [7, 4, 4, 3]]
12.24.0-4.b.1.3|12|[[1, 4, 0, 7], [7, 8, 0, 11], [11, 2, 8, 9]]
20.24.0-4.b.1.1|20|[[1, 4, 0, 19], [3, 12, 8, 11], [19, 0, 18, 17]]
20.24.0-4.b.1.2|20|[[1, 16, 12, 15], [7, 16, 12, 15], [11, 8, 6, 19]]
20.24.0-4.b.1.3|20|[[7, 8, 0, 17], [13, 12, 10, 17], [15, 12, 4, 3]]
12.24.0-4.c.1.1|12|[[1, 10, 8, 1], [1, 11, 10, 9]]
20.24.0-4.c.1.1|20|[[5, 12, 14, 1], [15, 18, 1, 7]]
12.24.0-4.d.1.1|12|[[5, 11, 0, 11], [7, 1, 8, 1], [7, 7, 8, 1]]
12.24.0-4.d.1.2|12|[[1, 11, 8, 3], [5, 5, 4, 3], [7, 2, 4, 3]]
20.24.0-4.d.1.1|20|[[9, 16, 17, 15], [15, 12, 3, 9], [19, 8, 13, 5]]
20.24.0-4.d.1.2|20|[[1, 16, 9, 7], [9, 12, 14, 9], [11, 8, 18, 3]]
12.48.0-4.a.1.1|12|[[1, 2, 2, 3], [7, 6, 2, 1]]
20.48.0-4.a.1.1|20|[[7, 10, 2, 1], [9, 18, 10, 19]]
12.48.0-4.b.1.1|12|[[5, 0, 2, 7], [11, 8, 10, 9]]
20.48.0-4.b.1.1|20|[[13, 16, 18, 15], [15, 8, 2, 1]]
12.48.0-4.c.1.1|12|[[7, 1, 0, 1], [9, 11, 8, 3]]
20.48.0-4.c.1.1|20|[[5, 3, 8, 3], [19, 9, 0, 13]]
15.24.0-5.a.1.1|15|[[6, 8, 5, 4], [12, 7, 4, 0]]
