4.4.0-2.a.1.1|4|[[1, 2, 0, 3], [2, 3, 1, 1]]
8.4.0-2.a.1.1|8|[[0, 1, 3, 5], [0, 1, 5, 1]]
4.12.0-2.a.1.1|4|[[1, 0, 2, 1], [1, 2, 0, 1], [3, 0, 0, 1]]
4.12.0-2.a.1.2|4|[[1, 0, 0, 3], [1, 2, 2, 3], [3, 2, 0, 3]]
8.12.0-2.a.1.1|8|[[1, 2, 0, 1], [1, 4, 6, 7], [3, 2, 0, 1], [3, 6, 6, 5]]
8.12.0-2.a.1.2|8|[[1, 0, 2, 3], [1, 0, 2, 5], [7, 4, 0, 5], [7, 6, 0, 1]]
3.8.0-3.a.1.1|3|[[2, 0, 0, 1], [2, 1, 0, 1]]
3.8.0-3.a.1.2|3|[[1, 0, 0, 2], [1, 1, 0, 1]]
6.8.0-3.a.1.1|6|[[2, 5, 3, 4], [5, 1, 0, 5]]
6.8.0-3.a.1.2|6|[[4, 3, 3, 2], [5, 5, 3, 4]]
3.24.0-3.a.1.1|3|[[1, 0, 0, 2]]
6.24.0-3.a.1.1|6|[[1, 0, 3, 5], [2, 3, 3, 2]]
4.4.0-4.a.1.1|4|[[1, 2, 1, 1], [2, 1, 1, 2]]
8.4.0-4.a.1.1|8|[[2, 7, 3, 4], [3, 0, 1, 5]]
4.12.0-4.a.1.1|4|[[1, 3, 2, 1], [3, 2, 2, 3]]
4.12.0-4.a.1.2|4|[[1, 3, 2, 1], [3, 0, 2, 3]]
8.12.0-4.a.1.1|8|[[3, 5, 4, 5], [5, 5, 2, 1], [7, 4, 4, 3]]
8.12.0-4.a.1.2|8|[[5, 5, 0, 7], [7, 4, 2, 7], [7, 7, 4, 5]]
8.12.0-4.b.1.1|8|[[5, 1, 4, 5], [7, 1, 2, 3], [7, 3, 2, 3]]
8.12.0-4.b.1.2|8|[[1, 2, 6, 7], [1, 6, 2, 3], [5, 1, 4, 5]]
8.12.0-4.b.1.3|8|[[3, 1, 6, 7], [3, 3, 6, 7], [7, 1, 4, 7]]
8.12.0-4.b.1.4|8|[[1, 7, 4, 5], [5, 2, 2, 7], [7, 0, 6, 5]]
4.12.0-4.c.1.1|4|[[1, 2, 0, 3], [3, 1, 0, 3]]
4.12.0-4.c.1.2|4|[[1, 1, 0, 1], [3, 3, 0, 1]]
8.12.0-4.c.1.1|8|[[7, 1, 0, 1], [7, 3, 0, 5], [7, 6, 4, 3], [7, 7, 0, 3]]
8.12.0-4.c.1.2|8|[[3, 7, 4, 5], [5, 5, 4, 5], [5, 7, 4, 7], [7, 4, 4, 7]]
8.12.0-4.c.1.3|8|[[1, 1, 0, 5], [1, 3, 4, 3], [3, 2, 0, 5], [7, 2, 0, 3]]
8.12.0-4.c.1.4|8|[[3, 0, 0, 7], [3, 5, 4, 1], [7, 2, 4, 3], [7, 7, 4, 3]]
8.12.0-4.c.1.5|8|[[3, 1, 4, 7], [7, 1, 4, 1], [7, 2, 4, 5], [7, 5, 4, 5]]
8.12.0-4.c.1.6|8|[[1, 3, 4, 5], [1, 7, 4, 7], [3, 0, 4, 1], [5, 7, 0, 3]]
4.16.0-4.a.1.1|4|[[3, 1, 3, 2]]
8.16.0-4.a.1.1|8|[[6, 7, 3, 7], [7, 6, 6, 5]]
4.16.0-4.b.1.1|4|[[0, 1, 3, 3], [3, 3, 0, 1]]
8.16.0-4.b.1.1|8|[[5, 3, 0, 3], [7, 0, 1, 5]]
4.24.0-4.a.1.1|4|[[1, 0, 2, 3], [1, 2, 0, 1]]
4.24.0-4.a.1.2|4|[[1, 0, 2, 3], [3, 2, 2, 1]]
8.24.0-4.a.1.1|8|[[1, 6, 4, 1], [3, 0, 0, 7], [3, 0, 4, 7], [5, 6, 6, 3]]
8.24.0-4.a.1.2|8|[[1, 2, 0, 1], [3, 4, 4, 3], [7, 0, 6, 5], [7, 6, 2, 5]]
8.24.0-4.a.1.3|8|[[1, 6, 6, 3], [5, 6, 6, 3], [7, 2, 4, 3], [7, 4, 4, 3]]
8.24.0-4.a.1.4|8|[[1, 2, 4, 5], [1, 6, 0, 5], [5, 2, 6, 7], [7, 2, 2, 1]]
8.24.0-4.a.1.5|8|[[1, 6, 2, 7], [3, 4, 6, 1], [7, 0, 4, 7], [7, 4, 2, 1]]
