// Curves whose points are computed in Bruin-Najman 2019, "Hyperelliptic modular curves X0(N) and isogenies of elliptic curves over quadratic fields"
Curve label | genus
'22.36.2.1' | 2
'23.24.2.1' | 2
'X0(26)' | 2
'X0(28)' | 2
'29.30.2.1' | 2
'X0(30)' | 3
'31.32.2.1' | 2
'X0(33)' | 3
'X0(35)' | 3
'X0(39)' | 3
'X0(40)' | 3
'41.42.3.1' | 3
'X0(46)' | 5
'47.48.4.1' | 4
'X0(48)' | 3
'X0(50)' | 2
'X0(59)' | 5
'X0(71)' | 6
