X0(30) | 3 | '3.1.424.1' | [ 136652616108772451/472392, -108730390264667581/944784, -643910148503125843/3779136 ] | '3.1.424.1' | 'No' | 0 |[]
X0(30) | 3 | '3.1.331.1' | [ 26741/24, 4513/24, 6283/24 ] | '3.1.331.1' | 'No' | 0 |[]
X0(30) | 3 | '3.1.331.1' | [ 392326117066466520629/7962624, 26678011463450353249/7962624, 119904131465196547123/7962624 ] | '3.1.331.1' | 'No' | 0 |[]
X0(30) | 3 | '3.3.229.1' | [ 11183859/1024, 29758379/1024, 13210743/1024 ] | '3.3.229.1' | 'No' | 0 |[]
X0(30) | 3 | '3.1.1879.1' | [ 1750183582722831298679/210832519264920576, 55497083596502138573/23425835473880064, 18406401416112785095/105416259632460288 ] | '3.1.1879.1' | 'No' | 0 |[]
X0(30) | 3 | '3.1.200.1' | [ 7009604625/512, -1882431905/256, 4561631995/1024 ] | '3.1.200.1' | 'No' | 0 |[]
X0(30) | 3 | '3.1.424.1' | [ 8079496199/12288, 5498532223/12288, 4104399281/98304 ] | '3.1.424.1' | 'No' | 0 |[]
X0(30) | 3 | '3.3.11321.1' | [ 41007013938532131669459067034011/140079962809731907584, 10534858088364955246494628822025/560319851238927630336, -6266817871886227723015412822443/560319851238927630336 ] | '3.3.11321.1' | 'No' | 0 |[]
X0(30) | 3 | '3.1.424.1' | [ -15252621311557627715/3294258113514384, -248833780281100882163/105416259632460288, -43747508158201248341/105416259632460288 ] | '3.1.424.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.411.1' | [ -654292067092725760/5559060566555523, 2477441512216690688/5559060566555523, -1188983427213131776/5559060566555523 ] | '3.1.411.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.411.1' | [ -163840/3, 327680/3, 131072/3 ] | '3.1.411.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.628.1' | [ -6511564702, 2157074347, -3916646005/4 ] | '3.1.628.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.628.1' | [ -7699496977514082638434671/9223372036854775808, 5012408164742335468011467/18446744073709551616, -9423965113962701653752405/73786976294838206464 ] | '3.1.628.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.1572.1' | [ -3047792155198391061277/23219011584, 1278156017129215752313/23219011584, -104511495470900913061/5804752896 ] | '3.1.1572.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.1572.1' | [ 1318643/54, 2509273/54, -933122/27 ] | '3.1.1572.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.91652.1' | [ -59641607136480255303719/10673396287786604160, 127510857521347563229/177889938129776736, -995996266817152564627/10673396287786604160 ] | '3.1.91652.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.91652.1' | [ 16011073649524961920849082307972121/8789062500000000000000000000000, 17935223081612640249553032565789/146484375000000000000000000000, -20578945354430959356196547277907/8789062500000000000000000000000 ] | '3.1.91652.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.1999.1' | [ 7468531642724793115645/18446744073709551616, -34694507335307213076245/147573952589676412928, -6123752740414510148929/147573952589676412928 ] | '3.1.1999.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.1999.1' | [ 183, -2119/8, 339/4 ] | '3.1.1999.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.907.1' | [ -2207598777093297997/250, 410908840886154241/50, -529650342571841289/250 ] | '3.1.907.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.907.1' | [ -270695635994877476557/419430400000000000, 52193611296076609921/83886080000000000, -82497059936053840009/419430400000000000 ] | '3.1.907.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.8756.1' | [ 90648628968027346007/354294, 5378378919239417905/78732, 15613178329533073487/708588 ] | '3.1.8756.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.60527.1' | [ -999352283906366962511/4096, -2002179629044998445871/24576, -220911790423729406021/24576 ] | '3.1.60527.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.2819.1' | [ -1950548529269698959263/16677181699666569, -7505546429976309294353/355779876259553472, -375134493560370017687891/34154868120917133312 ] | '3.1.2819.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.2819.1' | [ -745289667668/9, -360651156061/24, -551714597153/72 ] | '3.1.2819.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.60527.1' | [ 67554035886517540401395647/15544259980364064227328, 49587769909444049643511367/93265559882184385363968, -12305786559306184321278583/93265559882184385363968 ] | '3.1.60527.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.8756.1' | [ 11999127452332089551/864, 711934144768462153/192, 2066710978915152143/1728 ] | '3.1.8756.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.907.1' | [ 47081608344567336855508817603/238418579101562500000000000, -9408179359962503661303892559/47683715820312500000000000, 20100336321640676915838355911/238418579101562500000000000 ] | '3.1.907.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.8756.1' | [ 185788378945228830553/5559060566555523, 10999591456207105181/1235346792567894, 15981439143205888538/5559060566555523 ] | '3.1.8756.1' | 'No' | 0 |[]
X0(33) | 3 | '3.1.60527.1' | [ -26344189677418951/154618822656, -52595822523020711/927712935936, -5797814929178861/927712935936 ] | '3.1.60527.1' | 'No' | 0 |[]
