// Curves whose quadratic points are computed in Ozman-Siksek 2019 : "Quadratic points on modular curves"
// Curve label | genus
'34.54.3.1' | 3
'38.60.4.1' | 4
'42.96.5.1' | 5
'44.72.4.1' | 4
'45.72.3.1' | 3
'51.72.5.1' | 5
'52.84.5.1' | 5
'54.108.4.1' | 4
'55.72.5.1' | 5
'56.96.5.3' | 5
'63.96.5.1' | 5
'64.96.3.2' | 3
'X0(72)' | 5
'75.120.5.1' | 5
'81.108.4.1' | 4
