// Data from Box, Gajović, Goodman
// "Cubic and Quartic Points on Modular Curves Using Generalised Symmetric Chabauty"
// IMRN, 2022
// https://arxiv.org/pdf/2102.08236.pdf
//Curve label | genus | field of defn of point | j-invariant | Q(j) | CM | Discriminant of the CM order | Quotient information
'X0(65)' | 5 | '4.0.2368.1' | [ -3576050461096/3, 4021847253011/24, 12656185916533/24, -8144181273275/48 ]  |  '4.0.2368.1' | 'no' | 0 | [] 
'X0(65)' | 5 | '4.0.2368.1' | [ 391448327/2, -74732065/2, -78002975, 103767807/4 ]  |  '4.0.2368.1' | 'no' | 0 | [] 
'X0(65)' | 5 | '4.0.14161.1'  |  [ 191609377335/4096, 413901378279/4096, 905537632545/16384, 188921499633/16384 ] | '4.0.14161.1'   | 'no' | 0 | [] 
'X0(65)' | 5 | '4.0.14161.1'  |  [ 2467361523675741237836775/18446744073709551616, -825621671333425519248489/18446744073709551616, -438836098747959200559375/73786976294838206464, 427634371581028354195137/73786976294838206464 ] |  '4.0.14161.1'  | 'no' | 0 | [] 
'X0(65)' | 5 | '4.0.65025.2'  | [ 751030835/64, 274492275/512, -87895795/64, -352692275/512 ]  | '4.0.65025.2'   | 'no' | 0 | [] 
'X0(65)' | 5 | '4.0.65025.2' |  [ -39212426115211542480982026835/1152921504606846976, 2992685018566297792232866125/1152921504606846976, 451625115647050834040533476755/73786976294838206464, 185618461058956310814189183475/73786976294838206464 ]  |  '4.0.65025.2'  | 'no' | 0 | [] 
'X0(65)' | 5 | '4.0.567509.2'  | [ 492843218961143612475427709377479455541637063/164816823374040599263576756285488, -922602504649377247568643703363209592787778419/329633646748081198527153512570976, -9090861047122913317868767409113602922826071/109877882249360399509051170856992,-93996324565815115602099408132689707683077969/329633646748081198527153512570976 ]  |  '4.0.567509.2' | 'no' | 0 | [] 
'X0(65)' | 5 | '4.0.567509.2'  | [ 98822066843390263031433201559/4482558809911421042688, -466966355262376386084467179907/8965117619822842085376, -12451877639266344984832921639/2988372539940947361792, -44487012838602418265083128833/8965117619822842085376 ]  |  '4.0.567509.2' | 'no' | 0 | [] 
'X0(65)' | 5 | '4.0.567509.2'  | [ -158597557615675768578303016241491/3433683820292512484657849089281, 3322177705362944338498999061316877/20602102921755074907947094535686, -2768103066312680500698037612142213/20602102921755074907947094535686, 394721925585506038939231516050863/20602102921755074907947094535686 ]  |  '4.0.567509.2' | 'no' | 0 | [] 
'X0(65)' | 5 | '4.0.567509.2'  | [ -97178981827/331776, 1305535708381/1990656, -1035513003989/1990656, -74128331233/1990656 ]  |  '4.0.567509.2' | 'no' | 0 | [] 
'X0(65)' | 5 | '4.0.25993253.1' | [ -1518911235609/8192, -26830236936599/248832, -309174638866315/7962624, -43105827974237/7962624 ] | '4.0.25993253.1'  | 'no' | 0 | [] 
'X0(65)' | 5 | '4.0.25993253.1' | [ 38479705677268186614807253/8965117619822842085376, 5782355746610929278002707/373546567492618420224, -64157013721606511003683835/35860470479291368341504, 12618031044935721102344083/35860470479291368341504 ] | '4.0.25993253.1'  | 'no' | 0 | [] 
'X0(65)' | 5 | '4.0.25993253.1' | [ 1063329747491562602981456006663431432853/254346949651297221085766599206, -10441797713306580800510460134480868403676/10301051460877537453973547267843, 12586954158315417996000859906005034036565/82408411687020299631788378142744, -909371081634429814189874867193897304637/82408411687020299631788378142744 ] | '4.0.25993253.1' | 'no' | 0 | [] 
'X0(65)' | 5 | '4.0.25993253.1' |  [ 81420009981977702583148242907173423056050453/329633646748081198527153512570976, 868112754317696900719918177438095833492947/13734735281170049938631396357124, 5228953638910671575533618290081115693190725/1318534586992324794108614050283904, -11434805526353461934615216899479090166078637/1318534586992324794108614050283904 ] |  '4.0.25993253.1' | 'no' | 0 | []
'X0(65)' | 5 | '4.2.2284.1'  | [ -171120416134889866245933/36893488147419103232, 235392729157263397240537/36893488147419103232, -61850860780059939809193/18446744073709551616, 89811909733112525574421/73786976294838206464 ]  | '4.2.2284.1' | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.2284.1' | [ 14996770312076775/2097152, -16708346390401773/4194304, -13863756837269117/2097152, 6358379576865433/2097152 ]  | '4.2.2284.1'  | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.2284.1'  | [ -8133760431378926608060699815, 46495731438962280331948301537/4, -6732881259100241020796806191, 8754479010695388380472550951/4 ]  | '4.2.2284.1'  | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.2284.1'  | [ -199677561135133/32, -63842630691863/32, 23752567803407/16, -121794908716379/64 ]  | '4.2.2284.1'  | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.36787.1'  | [ 177065002925201/2, 59890281420103, -48343779317359, -73415413682485/2 ]  | '4.2.36787.1' | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.36787.1'  | [ 2112213001641271144506379601/36893488147419103232, -139691480735595239937239417/18446744073709551616, -700860128404944107845834159/18446744073709551616, 297793755303701986554311435/36893488147419103232 ]  | '4.2.36787.1' | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.36787.1'  | [ -95768669529519/32, 28461552238983/16, 12768065632081/16, -10248101735925/32 ]  | '4.2.36787.1' | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.36787.1'  | [ -52891570257608085379196076719/8192, -30014982839270895841290803577/4096, -2975932122821176891581130159/4096, 8699697034245003878315770635/8192 ]  | '4.2.36787.1' | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.75427.1' | [ -998722694575110891173077/16384, 5405460540196338811614783/32768, 4085001869259831852583379/32768, 1699588421018410771117575/32768 ]  | '4.2.75427.1'  | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.75427.1'  | [ -24919758297468911659765/64, 134875046777126873505951/128, 101927451713689293321395/128, 42407499986747925235047/128 ]  | '4.2.75427.1'   | 'no' | 0 | [] 
'X0(65)' | 5 | '4.2.75427.1'  | [ -8210508037/4, -6316920369/8, -854535645/8, 1212893975/8 ]  | '4.2.75427.1'   | 'no' | 0 | [] 
