id|label|level|generators
bigint|text|integer|integer[]

1488|10.24.1.4|10|{{7,1,0,1},{4,3,5,9}}
1575|10.240.5.1|10|{{7,5,5,6}}
57410|117.168.2.26|117|{{55,93,0,41},{69,43,13,77}}
57380|117.84.2.20|117|{{22,45,91,58},{11,97,26,17}}
1576|10.240.5.2|10|{{3,5,0,1},{6,5,5,1}}
1578|10.240.5.4|10|{{3,5,5,4}}
1490|10.30.1.1|10|{{1,5,0,1},{5,6,2,3},{7,2,2,3}}
1491|10.30.1.2|10|{{9,5,5,2},{5,1,4,5}}
1492|10.30.1.3|10|{{0,3,1,5},{5,4,9,5}}
1495|10.30.2.3|10|{{0,1,9,5},{8,5,5,4}}
1496|10.30.2.4|10|{{9,9,4,1},{1,6,2,3}}
1498|10.36.0.2|10|{{3,9,0,1},{3,2,0,1},{9,8,0,9}}
1500|10.36.0.4|10|{{3,1,0,3},{3,7,0,1}}
1501|10.36.1.1|10|{{3,6,0,1},{3,8,0,3}}
1502|10.36.1.2|10|{{7,5,0,9},{7,8,0,3}}
1542|10.90.2.2|10|{{9,5,0,9},{1,5,0,9},{5,8,6,5}}
1586|10.360.13.4|10|{{1,2,8,9}}
1580|10.360.4.2|10|{{3,0,0,9},{1,5,0,1}}
1581|10.360.4.3|10|{{9,5,0,9},{7,0,0,1}}
1582|10.360.4.4|10|{{9,5,0,9},{3,0,0,9}}
1505|10.40.1.3|10|{{6,5,5,1},{1,8,2,3}}
56135|102.216.17.25|102|{{59,74,68,97},{95,68,34,77},{49,83,17,2}}
1508|10.48.1.1|10|{{1,4,0,7},{1,1,5,2}}
1509|10.48.1.2|10|{{6,1,5,8},{1,7,0,7}}
57394|117.168.2.10|117|{{40,116,65,87},{4,23,0,44}}
1510|10.48.1.3|10|{{4,1,5,8},{1,1,5,4}}
56068|102.216.13.3|102|{{93,74,34,29},{93,4,68,15},{84,47,17,64}}
1512|10.48.1.5|10|{{7,0,0,1},{1,3,5,6}}
1513|10.48.1.6|10|{{4,7,5,1},{3,2,5,1}}
56095|102.216.13.30|102|{{23,27,51,2},{16,59,51,26},{64,11,51,38},{101,71,68,43}}
1516|10.60.1.1|10|{{4,1,9,3},{4,5,1,6}}
56072|102.216.13.7|102|{{41,30,34,47},{67,44,0,19},{5,5,34,89}}
1519|10.60.2.3|10|{{2,5,5,2},{1,0,5,3}}
1520|10.60.2.4|10|{{3,1,9,2},{1,1,0,9}}
1521|10.60.2.5|10|{{3,4,6,9},{5,7,2,5}}
1523|10.60.3.1|10|{{5,8,6,9},{9,2,8,1}}
1524|10.60.3.2|10|{{3,5,5,8},{3,0,0,1}}
1525|10.60.3.3|10|{{8,5,5,6},{8,5,5,7}}
55928|100.60.2.1|100|{{23,12,25,69},{74,29,75,17},{67,84,50,97}}
1529|10.72.0.1|10|{{1,1,0,7},{1,1,0,9}}
1530|10.72.0.2|10|{{1,7,0,1},{9,3,0,7}}
57411|117.168.2.27|117|{{51,94,65,76},{17,49,13,66}}
1532|10.72.0.4|10|{{3,5,0,9},{7,8,0,9}}
1539|10.72.1.3|10|{{3,0,0,1},{9,8,0,9}}
1533|10.72.0.5|10|{{9,5,0,7},{9,9,0,1}}
56109|102.216.15.4|102|{{23,81,51,88},{77,42,51,37},{3,34,85,63},{97,90,51,61}}
56074|102.216.13.9|102|{{13,64,34,39},{95,2,34,15}}
1536|10.72.0.8|10|{{7,8,0,9},{7,9,0,1}}
1537|10.72.1.1|10|{{9,2,0,1},{9,3,0,3}}
1540|10.72.1.4|10|{{7,7,0,9},{7,1,0,1}}
1588|10.720.13.2|10|{{3,5,0,1}}
1543|10.90.3.1|10|{{7,0,0,1},{0,9,1,0}}
1589|10.720.13.3|10|{{7,5,0,9}}
56060|102.108.9.8|102|{{67,39,0,91},{40,55,85,42},{88,13,85,74},{36,25,85,65}}
1590|10.720.13.4|10|{{7,0,0,9}}
57412|117.168.2.28|117|{{30,19,52,25},{95,65,52,72}}
55929|100.60.2.2|100|{{66,13,25,23},{67,98,75,81},{74,47,75,2}}
1546|10.90.4.2|10|{{5,4,4,5},{1,0,0,7}}
55932|100.180.4.1|100|{{23,74,0,79},{23,69,50,7},{37,7,0,47},{49,33,50,39}}
55950|100.180.10.1|100|{{93,97,0,73},{59,15,0,83},{13,37,50,99},{69,66,0,83}}
55951|100.180.10.2|100|{{31,45,0,41},{39,25,50,57},{63,79,0,79},{37,86,0,23}}
55952|100.180.10.3|100|{{49,15,0,13},{83,78,0,61},{97,57,0,13},{59,75,50,51}}
55953|100.180.10.4|100|{{87,89,0,1},{17,45,0,87},{53,76,50,41},{43,50,50,9}}
55933|100.180.4.2|100|{{1,46,50,61},{27,40,0,29},{43,75,50,3},{21,48,0,13}}
55934|100.180.6.1|100|{{31,57,0,89},{23,17,50,91},{77,62,50,31},{57,3,50,77}}
55935|100.180.6.2|100|{{71,47,50,3},{19,69,0,1},{19,57,0,19},{83,95,50,73}}
55936|100.180.6.3|100|{{11,60,50,93},{39,2,50,61},{47,83,0,93},{19,75,50,67}}
55937|100.180.6.4|100|{{43,29,0,57},{9,3,50,43},{59,74,50,47},{59,10,50,29}}
55938|100.180.6.5|100|{{77,25,50,29},{13,46,0,49},{73,52,50,61},{47,6,50,77}}
55939|100.180.6.6|100|{{77,24,50,7},{38,83,25,98},{28,39,25,26},{24,13,25,78}}
55940|100.180.7.1|100|{{99,42,0,33},{9,54,0,23},{73,46,0,21},{93,56,0,39},{99,71,0,51}}
55941|100.180.7.2|100|{{57,83,50,73},{83,2,0,27},{33,91,0,69},{87,20,50,77}}
55942|100.180.7.3|100|{{17,20,0,17},{27,27,0,89},{67,29,50,23},{89,25,0,47},{43,62,0,51}}
55943|100.180.7.4|100|{{1,75,50,83},{73,38,50,31},{83,65,50,41},{77,83,50,29}}
55944|100.180.7.5|100|{{47,34,50,33},{13,75,0,37},{33,91,0,71},{49,77,0,61}}
55945|100.180.7.6|100|{{62,79,75,92},{37,60,50,37},{51,40,50,99},{31,98,0,53}}
55946|100.180.9.1|100|{{27,52,0,73},{61,67,50,11},{67,33,50,49},{43,15,50,33}}
